name,year,selling_price,price,transmission,owner
Audi A3 35 TDI Premium Plus,2017,2600000,171600,Automatic,First Owner
Audi A3 35 TDI Premium Plus,2018,3000000,198000,Automatic,First Owner
Audi A3 40 TFSI Premium,2017,1689999,111540,Automatic,First Owner
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,1200000,79200,Automatic,First Owner
Audi A4 35 TDI Premium Plus,2015,1750000,115500,Automatic,First Owner
Audi A4 35 TDI Premium Plus,2018,2900000,191400,Automatic,First Owner
Audi A4 35 TDI Premium Plus,2016,1898999,125334,Automatic,First Owner
Audi A6 2.0 TDI,2014,2200000,145200,Automatic,First Owner
Audi A6 2.0 TDI Design Edition,2013,1689999,111540,Automatic,First Owner
Audi Q3 2.0 TDI Quattro Premium Plus,2017,2825000,186450,Automatic,First Owner
Audi Q3 2.0 TDI Quattro Premium Plus,2016,2375000,156750,Automatic,First Owner
Audi Q3 2.0 TDI Quattro Premium Plus,2014,1200000,79200,Automatic,First Owner
Audi Q3 35 TDI Quattro Premium Plus,2018,2800000,184800,Automatic,First Owner
Audi Q5 2.0 TDI,2011,1300000,85800,Automatic,First Owner
Audi Q5 3.0 TDI Quattro,2014,1850000,122100,Automatic,First Owner
Audi Q5 35TDI Premium Plus,2018,3975000,262350,Automatic,First Owner
Audi Q7 3.0 TDI Quattro,2014,3000000,198000,Automatic,First Owner
Audi Q7 3.0 TDI Quattro Premium Plus,2012,1850000,122100,Automatic,First Owner
Audi Q7 35 TDI Quattro Premium,2015,2650000,174900,Automatic,First Owner
BMW 3 Series 320d,2017,3200000,211200,Automatic,First Owner
BMW 3 Series 320d GT Luxury Line,2017,2950000,194700,Automatic,First Owner
BMW 3 Series 320d Luxury Line,2016,2150000,141900,Automatic,First Owner
BMW 3 Series 320d Luxury Line,2010,1100000,72600,Automatic,First Owner
BMW 3 Series 320d Luxury Line Plus,2017,2600000,171600,Automatic,First Owner
BMW 3 Series 320d Prestige,2015,1650000,108900,Automatic,First Owner
BMW 3 Series 320d Sedan,2011,1500000,99000,Automatic,First Owner
BMW 3 Series GT Luxury Line,2016,2950000,194700,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2016,2900000,191400,Automatic,First Owner
BMW 5 Series 520d Luxury Line,2019,5200000,343200,Automatic,First Owner
BMW 5 Series 520d Sport Line,2018,3790000,250140,Automatic,First Owner
BMW 5 Series 525d,2010,1000000,66000,Automatic,First Owner
BMW 5 Series 530d,2013,2000000,132000,Automatic,First Owner
BMW 6 Series GT 630d Luxury Line,2018,6000000,396000,Automatic,First Owner
BMW X1 sDrive 20d Sportline,2018,2850000,188100,Automatic,First Owner
BMW X1 sDrive 20D xLine,2017,2150000,141900,Automatic,First Owner
BMW X1 sDrive20d,2011,1000000,66000,Automatic,First Owner
BMW X1 sDrive20d M Sport,2011,1075000,70950,Automatic,First Owner
BMW X1 sDrive20d M Sport,2018,3350000,221100,Automatic,First Owner
BMW X3 xDrive20d,2012,1800000,118800,Automatic,First Owner
BMW X4 M Sport X xDrive20d,2019,5800000,382800,Automatic,First Owner
BMW X6 xDrive30d,2013,3750000,247500,Automatic,First Owner
BMW X7 xDrive 30d DPE,2020,7200000,475200,Automatic,First Owner
Chevrolet Aveo U-VA 1.2 LS,2010,125000,8250,Manual,First Owner
Chevrolet Beat Diesel LS,2016,375000,24750,Manual,First Owner
Chevrolet Beat Diesel LS,2012,140000,9240,Manual,First Owner
Chevrolet Beat Diesel LS,2014,190000,12540,Manual,First Owner
Chevrolet Beat Diesel LT,2013,300000,19800,Manual,First Owner
Chevrolet Beat Diesel LT,2015,240000,15840,Manual,First Owner
Chevrolet Beat LS,2016,300000,19800,Manual,First Owner
Chevrolet Beat LT,2015,200000,13200,Manual,First Owner
Chevrolet Beat LT,2016,210000,13860,Manual,First Owner
Chevrolet Beat LT,2011,120000,7920,Manual,First Owner
Chevrolet Beat LT,2017,350000,23100,Manual,First Owner
Chevrolet Beat LT,2014,240000,15840,Manual,First Owner
Chevrolet Captiva 2.2 LT,2013,667000,44022,Manual,First Owner
Chevrolet Cruze LT,2011,300000,19800,Manual,First Owner
Chevrolet Cruze LTZ AT,2015,450000,29700,Automatic,First Owner
Chevrolet Cruze LTZ AT,2016,750000,49500,Automatic,First Owner
Chevrolet Enjoy 1.3 TCDi LS 8,2016,490000,32340,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LT 8,2016,535000,35310,Manual,First Owner
Chevrolet Enjoy 1.3 TCDi LTZ 8,2016,500000,33000,Manual,First Owner
Chevrolet Enjoy 1.4 LTZ 7,2013,350000,23100,Manual,First Owner
Chevrolet Enjoy Petrol LS 7 Seater,2014,312000,20592,Manual,First Owner
Chevrolet Enjoy TCDi LS 8 Seater,2015,370000,24420,Manual,First Owner
Chevrolet Enjoy TCDi LT 7 Seater,2014,275000,18150,Manual,First Owner
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,19800,Manual,First Owner
Chevrolet Optra Magnum 2.0 LT,2012,400000,26400,Manual,First Owner
Chevrolet Sail 1.2 LS,2015,220000,14520,Manual,First Owner
Chevrolet Sail 1.2 LS ABS,2016,400000,26400,Manual,First Owner
Chevrolet Sail 1.2 LS ABS,2015,371000,24486,Manual,First Owner
Chevrolet Sail 1.2 LS ABS,2014,450000,29700,Manual,First Owner
Chevrolet Sail 1.2 LT ABS,2014,330000,21780,Manual,First Owner
Chevrolet Sail 1.3 LS,2013,246000,16236,Manual,First Owner
Chevrolet Sail Hatchback 1.2,2014,300000,19800,Manual,First Owner
Chevrolet Sail Hatchback 1.2 LS,2014,300000,19800,Manual,First Owner
Chevrolet Sail Hatchback Diesel,2013,355000,23430,Manual,First Owner
Chevrolet Sail Hatchback Diesel Base,2013,295000,19470,Manual,First Owner
Chevrolet Sail Hatchback LS ABS,2013,300000,19800,Manual,First Owner
Chevrolet Sail Hatchback LT ABS,2013,200000,13200,Manual,First Owner
Chevrolet Sail Hatchback Petrol,2013,229999,15180,Manual,First Owner
